512
344,6,10,1,73
34,377,10,0,70
63,143,10,1,68
465,90,10,1,74
397,308,10,1,78
43,26,10,1,77
134,175,10,1,75
199,462,10,1,82
399,416,10,1,92
145,469,10,1,82
78,218,10,1,76
185,114,10,1,68
441,331,10,1,75
412,401,10,1,92
310,282,10,0,75
142,70,10,1,76
368,47,10,1,75
342,62,10,1,71
406,91,10,1,75
214,176,10,0,71
420,409,10,1,92
167,262,10,1,86
43,473,10,0,88
1,462,10,1,93
487,85,10,1,76
414,443,10,1,82
95,31,10,1,71
457,393,10,1,90
210,227,10,1,76
88,311,10,1,79
40,445,10,1,80
70,213,10,1,77
304,145,10,0,70
459,346,10,1,80
475,330,10,1,80
116,332,10,0,86
31,486,10,1,88
451,417,10,1,90
184,458,10,1,77
453,83,10,1,77
199,66,10,1,77
53,311,10,1,79
458,183,10,1,67
269,93,10,1,73
281,348,10,1,82
104,368,10,1,88
295,194,10,1,67
305,366,10,1,88
11,485,10,1,89
428,417,10,1,95
459,145,10,0,69
105,78,10,1,68
334,94,10,1,77
453,15,10,1,73
411,283,10,0,77
35,292,10,1,87
198,399,10,1,80
257,46,10,1,77
64,169,10,1,68
211,194,10,0,73
89,486,10,1,83
84,232,10,1,79
462,405,10,1,90
34,127,10,1,59
30,11,10,1,77
123,255,10,1,41
401,225,10,1,72
382,471,10,1,64
413,188,10,1,67
2,332,10,1,84
407,103,10,0,75
119,277,10,0,70
303,203,10,1,67
129,303,10,1,83
15,231,10,0,70
297,361,10,1,88
240,317,10,1,78
67,304,10,1,84
485,282,10,1,82
293,387,10,1,88
136,156,10,1,71
122,214,10,1,59
383,440,10,1,64
21,423,10,1,89
484,448,10,1,82
449,450,10,1,88
326,334,10,1,80
279,313,10,1,75
326,453,10,1,86
341,360,10,1,80
358,113,10,1,79
320,388,10,0,77
43,264,10,1,87
303,79,10,1,75
27,75,10,1,74
168,260,10,1,86
128,294,10,1,70
399,78,10,1,79
486,450,10,1,86
253,136,10,1,41
96,383,10,1,70
87,144,10,1,76
307,83,10,1,75
435,487,10,1,89
251,321,10,1,41
476,337,10,1,80
464,86,10,1,74
163,334,10,1,85
121,401,10,1,70
245,230,10,1,75
286,252,10,1,41
253,184,10,0,41
124,389,10,1,70
32,322,10,0,82
418,478,10,1,88
308,466,10,1,83
30,403,10,1,87
147,393,10,1,83
391,93,10,1,75
458,408,10,1,86
356,194,10,1,71
304,246,10,0,41
262,408,10,1,84
424,186,10,1,67
55,416,10,1,80
360,229,10,1,71
162,83,10,1,74
62,111,10,1,66
345,297,10,1,81
20,177,10,0,70
23,39,10,1,77
167,229,10,1,74
360,351,10,1,77
273,231,10,0,65
257,443,10,1,77
229,247,10,1,41
82,24,10,1,71
209,431,10,1,83
188,397,10,1,77
385,477,10,1,88
338,460,10,1,86
288,60,10,1,71
172,275,10,0,86
184,97,10,1,68
245,119,10,1,59
1,248,10,0,41
139,171,10,1,75
224,66,10,1,74
182,376,10,1,70
71,381,10,1,70
0,121,10,0,59
173,468,10,1,83
447,25,10,1,69
162,89,10,1,72
434,456,10,1,91
381,442,10,1,64
29,455,10,1,88
340,465,10,1,86
396,314,10,1,75
458,405,10,1,90
423,70,10,1,78
417,134,10,1,72
149,262,10,1,85
150,265,10,1,82
397,450,10,1,91
105,15,10,1,73
363,326,10,1,79
289,408,10,1,84
18,300,10,1,85
365,288,10,1,81
472,379,10,1,64
406,415,10,1,92
489,40,10,1,73
210,473,10,1,80
446,432,10,1,82
389,477,10,1,88
95,315,10,1,79
213,65,10,1,77
286,303,10,1,79
303,50,10,1,78
321,315,10,1,75
284,174,10,0,68
152,135,10,1,71
416,227,10,0,69
165,259,10,1,86
183,247,10,0,41
89,212,10,1,76
191,184,10,1,68
119,354,10,1,70
350,150,10,1,69
186,262,10,0,78
406,390,10,0,92
433,381,10,1,64
480,315,10,1,75
49,354,10,1,84
418,330,10,1,81
249,65,10,0,41
119,137,10,1,59
74,233,10,1,79
454,454,10,1,88
270,416,10,1,84
320,264,10,1,75
122,95,10,1,59
371,466,10,0,84
483,97,10,1,78
222,209,10,1,72
433,75,10,1,78
337,423,10,1,83
157,34,10,0,70
