256
151,144,10,1,22
134,36,10,0,16
61,97,10,1,14
132,193,10,0,22
73,14,10,0,18
15,16,10,0,18
192,229,10,1,19
55,148,10,1,11
86,39,10,1,16
197,214,10,0,21
118,12,10,0,10
184,236,10,1,19
200,225,10,1,23
108,98,10,0,18
124,166,10,1,10
101,123,10,1,10
114,110,10,1,18
183,199,10,1,19
36,79,10,1,18
243,206,10,0,22
203,125,10,0,10
201,150,10,1,21
40,163,10,1,16
145,178,10,1,24
229,221,10,1,21
34,34,10,0,17
24,88,10,0,18
243,232,10,0,24
59,63,10,0,14
77,28,10,0,16
188,203,10,1,19
62,115,10,0,14
146,143,10,1,24
196,0,10,0,17
176,37,10,0,15
87,178,10,1,15
138,133,10,1,24
36,167,10,1,16
149,185,10,1,19
85,15,10,0,18
156,108,10,0,14
104,179,10,1,15
178,78,10,1,14
23,135,10,1,13
14,37,10,0,17
140,53,10,0,16
47,212,10,1,15
92,74,10,0,18
187,63,10,0,12
28,19,10,0,16
229,231,10,1,24
42,105,10,0,18
35,242,10,0,15
36,180,10,0,16
203,104,10,1,15
159,209,10,0,22
30,138,10,1,13
193,98,10,1,15
158,177,10,1,22
120,127,10,1,10
238,119,10,0,10
139,152,10,1,22
97,176,10,1,15
42,73,10,1,18
212,74,10,0,15
125,105,10,0,10
216,10,10,1,15
13,146,10,1,15
3,28,10,0,16
157,30,10,0,14
49,139,10,1,14
151,52,10,0,14
6,146,10,1,15
100,124,10,1,10
3,54,10,0,14
8,238,10,0,15
225,243,10,0,24
20,118,10,0,10
216,185,10,0,19
151,228,10,0,22
70,99,10,1,18
198,228,10,1,23
73,204,10,1,14
205,32,10,1,15
211,7,10,1,17
120,120,10,1,10
11,2,10,0,18
129,166,10,1,24
84,152,10,0,15
45,221,10,1,15
191,150,10,1,19
188,85,10,1,12
84,42,10,1,17
75,199,10,1,14
180,184,10,0,19
198,28,10,1,15
204,44,10,0,16
231,165,10,0,21
183,172,10,0,19
75,204,10,1,14
